n_chunks, chunks_size, qos, sync, size, ns
1,1024,1,1,Huge,71140750
1,1024,1,1,Huge,73332270
1,1024,1,1,Huge,74430001
1,1024,1,1,Huge,67716949
1,1024,1,1,Huge,69812036
1,1024,1,0,Tiny,1690654
1,1024,1,0,Tiny,4849931
1,1024,1,0,Tiny,6609527
1,1024,1,0,Tiny,9929929
1,1024,1,0,Tiny,11558501
1,1024,1,0,Small,10449523
1,1024,1,0,Small,11812786
1,1024,1,0,Small,27455650
1,1024,1,0,Small,42950583
1,1024,1,0,Small,52540466
1,1024,1,0,Small,62730390
1,1024,1,0,Small,78368307
1,1024,1,0,Medium,44141721
1,1024,1,0,Medium,71444052
1,1024,1,0,Medium,100987568
1,1024,1,0,Medium,121352340
1,1024,1,0,Medium,145449585
1,1024,1,0,Medium,149016775
1,1024,1,0,Large,36961361
1,1024,1,0,Large,79219268
1,1024,1,0,Large,119128757
1,1024,1,0,Large,163579074
1,1024,1,0,Large,219612341
1,1024,1,0,Large,246124817
1,1024,1,0,Huge,77677925
1,1024,1,0,Huge,163369435
1,1024,1,0,Huge,245346512
1,1024,1,0,Huge,326255850
1,1024,1,0,Huge,412343291
1,1024,1,0,Huge,497604991
1,2048,1,1,Tiny,2727238
1,2048,1,1,Tiny,2629871
1,2048,1,1,Tiny,2313868
1,2048,1,1,Tiny,1240557
1,2048,1,1,Tiny,1181154
1,2048,1,1,Small,6639761
1,2048,1,1,Small,6225073
1,2048,1,1,Small,6286750
1,2048,1,1,Small,6395158
1,2048,1,1,Small,8261208
1,2048,1,1,Medium,16745865
1,2048,1,1,Medium,11931005
1,2048,1,1,Medium,12259711
1,2048,1,1,Medium,12262055
1,2048,1,1,Medium,12007630
1,2048,1,1,Large,23427397
1,2048,1,1,Large,26029600
1,2048,1,1,Large,25832699
1,2048,1,1,Large,24688615
1,2048,1,1,Large,29613578
1,2048,1,1,Huge,55681223
1,2048,1,1,Huge,47695912
1,2048,1,1,Huge,47376225
1,2048,1,1,Huge,54401245
1,2048,1,1,Huge,55863391
1,2048,1,0,Tiny,1328581
1,2048,1,0,Tiny,3969939
1,2048,1,0,Tiny,4685079
1,2048,1,0,Tiny,6832394
1,2048,1,0,Tiny,7901339
1,2048,1,0,Small,9000673
1,2048,1,0,Small,5763144
1,2048,1,0,Small,10797150
1,2048,1,0,Small,16126436
1,2048,1,0,Small,21567916
1,2048,1,0,Small,26924875
1,2048,1,0,Small,33021392
1,2048,1,0,Medium,21067510
1,2048,1,0,Medium,34632992
1,2048,1,0,Medium,46300615
1,2048,1,0,Medium,65638536
1,2048,1,0,Medium,75506166
1,2048,1,0,Medium,84774262
1,2048,1,0,Large,28383472
1,2048,1,0,Large,50633393
1,2048,1,0,Large,73452895
1,2048,1,0,Large,95010104
1,2048,1,0,Large,120820079
1,2048,1,0,Huge,156170783
1,2048,1,0,Huge,82996976
1,2048,1,0,Huge,131114722
1,2048,1,0,Huge,175916568
1,2048,1,0,Huge,218839393
1,2048,1,0,Huge,258288334
1,4096,1,1,Tiny,823902
1,4096,1,1,Tiny,613999
1,4096,1,1,Tiny,606259
1,4096,1,1,Tiny,616475
1,4096,1,1,Tiny,4899171
1,4096,1,1,Small,1963974
1,4096,1,1,Small,2231376
1,4096,1,1,Small,2159673
1,4096,1,1,Small,2207472
1,4096,1,1,Small,1986260
